name,longitude,latitude,date
"Nymphalis californica Boisduval, 1852",-122.143995,38.492413,2019-01-25
"Nymphalis californica Boisduval, 1852",-123.007606,38.552537,2019-01-27
"Nymphalis californica Boisduval, 1852",-122.315933,38.906562,2019-01-27
"Nymphalis californica Boisduval, 1852",-122.783955,38.61301,2019-01-24
"Nymphalis californica Boisduval, 1852",-116.502753,32.883743,2019-01-27
"Nymphalis californica Boisduval, 1852",-122.147167,38.482835,2019-01-25
"Nymphalis californica Boisduval, 1852",-118.516153,34.128809,2019-01-27
"Nymphalis californica Boisduval, 1852",-121.816261,37.914117,2019-01-19
"Nymphalis californica Boisduval, 1852",-121.947892,37.080135,2019-01-19
"Nymphalis californica Boisduval, 1852",-118.516454,34.128809,2019-01-27
"Nymphalis californica Boisduval, 1852",-121.182708,39.295988,2019-01-25
"Nymphalis californica Boisduval, 1852",-116.50283,32.883882,2019-01-27
"Nymphalis californica Boisduval, 1852",-122.708662,37.947205,2019-01-26
"Nymphalis californica Boisduval, 1852",-123.011438,38.459964,2019-01-25
"Nymphalis californica Boisduval, 1852",-122.476463,38.003918,2019-01-21
"Nymphalis californica Boisduval, 1852",-122.53842,38.126183,2019-01-21
"Nymphalis californica Boisduval, 1852",-122.149694,38.483023,2019-01-25
"Nymphalis californica Boisduval, 1852",-122.500743,38.417931,2019-01-24
"Nymphalis californica Boisduval, 1852",-122.135555,37.946719,2019-01-24
"Nymphalis californica Boisduval, 1852",-120.33776,37.70935,2019-01-25
"Nymphalis californica Boisduval, 1852",-122.279759,38.894959,2019-01-26
"Nymphalis californica Boisduval, 1852",-122.315578,38.905997,2019-01-27
"Nymphalis californica Boisduval, 1852",-119.356262,34.4243,2019-01-23
"Nymphalis californica Boisduval, 1852",-118.516753,34.084564,2019-01-27
"Nymphalis californica Boisduval, 1852",-123.012169,38.564312,2019-01-27
"Nymphalis californica Boisduval, 1852",-121.930189,37.915323,2019-01-21
"Nymphalis californica Boisduval, 1852",-122.143186,38.486227,2019-01-25
"Nymphalis californica Boisduval, 1852",-122.863117,38.043657,2019-01-26
"Nymphalis californica Boisduval, 1852",-117.90585,34.24667,2019-02-23
"Nymphalis californica Boisduval, 1852",-117.9188,34.24198,2019-02-23
"Nymphalis californica Boisduval, 1852",-121.9306,37.889761,2019-02-22
"Nymphalis californica Boisduval, 1852",-122.505495,37.997433,2019-02-20
"Nymphalis californica Boisduval, 1852",-121.942964,37.916019,2019-02-22
"Nymphalis californica Boisduval, 1852",-119.96986,37.605694,2019-02-22
"Nymphalis californica Boisduval, 1852",-120.065824,34.49347,2019-03-17
"Nymphalis californica Boisduval, 1852",-121.409018,37.408726,2019-03-19
"Nymphalis californica Boisduval, 1852",-123.943016,45.974035,2019-03-18
"Nymphalis californica Boisduval, 1852",-121.791955,37.149565,2019-03-20
"Nymphalis californica Boisduval, 1852",-122.841367,40.384567,2019-03-16
"Nymphalis californica Boisduval, 1852",-122.639563,38.001572,2019-03-17
"Nymphalis californica Boisduval, 1852",-121.926174,37.230324,2019-03-17
"Nymphalis californica Boisduval, 1852",-123.25177,38.850462,2019-03-14
"Nymphalis californica Boisduval, 1852",-119.349608,34.400417,2019-03-24
"Nymphalis californica Boisduval, 1852",-123.919859,45.715301,2019-03-18
"Nymphalis californica Boisduval, 1852",-122.048235,36.982602,2019-03-15
"Nymphalis californica Boisduval, 1852",-123.569148,39.803622,2019-03-17
