This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"403280","FRANKLIN SEW",-86.8697,35.9478,200,"COOP"
"457059","RITZVILLE 1",-118.3772,47.1139,576,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3447,33.9375,1097,"COOP"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"307035","RHINEBECK 4",-73.8686,41.8847,92,"COOP"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP"
"102942","EMMETT 2 E",-116.4664,43.8544,728,"COOP"
"ACN","ACTON",-118.2000,34.4460,792,"CDEC"
"045360","MARKLEY COVE",-122.1261,38.4939,146,"COOP"
"252820","FAIRBURY",-97.1714,40.1356,415,"COOP"
"426640","PARIA RANGER",-111.8969,37.0950,1341,"COOP"
"168941","TERRYTOWN",-90.0322,29.9122,3,"COOP"
"057309","RUXTON PARK",-104.9742,38.8417,2758,"COOP"
"073595","GREENWOOD 2N",-75.5761,38.8161,14,"COOP"
"ADR","AUBURN DAM R",-121.0450,38.8820,366,"CDEC"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"357641","SEASIDE",-123.9244,45.9869,3,"COOP"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"108535","SODA SPRINGS",-111.5833,42.6514,1781,"COOP"
"AGP","AGNEW PASS",-119.1430,37.7280,2880,"CDEC"
"419499","WATER VALLEY",-100.7283,31.6747,646,"COOP"
"443267","GALAX RADIO",-80.9139,36.6633,727,"COOP"
"AGW","A.G. WISHON",-119.5050,37.1510,305,"CDEC"
"314860","LAURINBURG",-79.4664,34.7508,64,"COOP"
"422057","DEER CREEK D",-111.5333,40.4000,1606,"COOP"
"046263","NORTHRIDGE C",-118.5300,34.2381,261,"COOP"
"452157","DIABLO DAM",-121.1411,48.7153,272,"COOP"
"AHV","ASH VALLEY",-120.7060,41.0580,1551,"CDEC"
"09S06S","BEAVER HEAD",-109.2164,33.6914,2435,"SNOTEL"
"310724","BENT CREEK",-82.5950,35.5053,643,"COOP"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"032930","GRAVETTE",-94.4500,36.4333,384,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"296812","PIETOWN 19 N",-107.9000,34.5000,2427,"COOP"
"477142","RICE RESRVR",-89.7300,45.5300,445,"COOP"
"325730","MC HENRY 3 W",-98.6422,47.5808,474,"COOP"
"391972","COTTONWOOD 2",-101.8667,43.9667,736,"COOP"
"ALD","ALDER POINT",-123.7120,40.2320,281,"CDEC"
"204078","IONIA 2 SSW",-85.0778,42.9531,245,"COOP"
"046599","PACIFICA 4 S",-122.4717,37.5917,145,"COOP"
"ANZ","ANZA",-116.6730,33.5580,1195,"CDEC"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"249175","WYOLA 1 SW",-107.4061,45.1217,1137,"COOP"
"461588","CHARLES TOWN",-77.8344,39.2981,158,"COOP"
"314456","JACKSON",-77.4211,36.3894,30,"COOP"
"202015","DEARBORN",-83.2314,42.3167,184,"COOP"
"473453","HARTFORD 2 W",-88.4172,43.3319,299,"COOP"
"237514","SALISBURY",-92.8097,39.4244,223,"COOP"
"331541","CHIPPEWA LAK",-81.9361,41.0517,360,"COOP"
"ARC","MAD RIVER NE",-124.0600,40.9100,10,"CDEC"
"057515","SEDGWICK 5 S",-102.5169,40.8656,1216,"COOP"
"143867","HUMBOLDT",-95.4458,37.8119,287,"COOP"
"ARG","ARROYO GRAND",-120.4170,35.1170,183,"CDEC"
"085612","MELBOURNE WF",-80.6308,28.0958,11,"COOP"
"202250","DOWAGIAC 1 W",-86.1333,41.9833,226,"COOP"
"07F01S","BEAR TRAP ME",-107.0667,43.8833,2499,"SNOTEL"
"407459","PULASKI WATE",-87.0500,35.1833,193,"COOP"
"047109","POTTER VALLE",-123.1286,39.3614,309,"COOP"
"463215","FRANKLIN 2 N",-79.3092,38.6756,579,"COOP"
"120177","ANDERSON SEW",-85.7167,40.1000,258,"COOP"
"112193","DECATUR",-88.9525,39.8275,189,"COOP"
"ARY","ARROYO SECO",-121.4880,36.2300,299,"CDEC"
"155694","MURRAY",-88.3081,36.6125,161,"COOP"
"466989","PICKENS 2 N",-80.1956,38.6786,878,"COOP"
"041497","CANYON DAM",-121.0886,40.1706,1390,"COOP"
"480740","BILLY CREEK",-106.7167,44.1333,1516,"COOP"
"425733","MOAB",-109.5458,38.5739,1241,"COOP"
"028112","SOUTH PHOENI",-112.0694,33.3814,352,"COOP"
"237963","SPICKARD 7 W",-93.7194,40.2486,267,"COOP"
"304731","LIBERTY 1 NE",-74.7333,41.8000,472,"COOP"
"300063","ALCOVE DAM",-73.9267,42.4697,185,"COOP"
