This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"044297","IRON MOUNTAI",-115.1333,34.1333,281,"COOP"
"044374","JESS VALLEY",-120.2947,41.2683,1646,"COOP"
"046399","OJAI",-119.2292,34.4481,229,"COOP"
"046826","PETALUMA FIR",-122.6575,38.2672,9,"COOP"
"047085","PORTOLA",-120.4667,39.8000,1478,"COOP"
"403280","FRANKLIN SEW",-86.8697,35.9478,200,"COOP"
"457059","RITZVILLE 1",-118.3722,47.1172,579,"COOP"
"13E18S","MEADOW LAKE",-113.3189,44.4414,2789,"SNOTEL"
"415265","LITTLEFIELD",-102.3447,33.9375,1097,"COOP"
"282023","CRANFORD",-74.3000,40.6500,23,"COOP"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP"
"102942","EMMETT 2 E",-116.4667,43.8500,728,"COOP"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP"
"482054","CORA",-109.9956,42.9639,2268,"COOP"
"168941","TERRYTOWN",-90.0322,29.9122,3,"COOP"
"057309","RUXTON PARK",-104.9742,38.8417,2758,"COOP"
"93112","SAN DIEGO NO",-117.2146,32.6978,15,"WBAN"
"317994","SMITHFIELD",-78.3458,35.5164,46,"COOP"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,173,"ASOS"
"357641","SEASIDE",-123.9244,45.9869,3,"COOP"
"07K12S","BISON LAKE",-107.3567,39.7647,3316,"SNOTEL"
"452548","ELWHA R S",-123.5833,48.0333,110,"COOP"
"108535","SODA SPRINGS",-111.5833,42.6514,1781,"COOP"
"419499","WATER VALLEY",-100.7333,31.6667,646,"COOP"
"314860","LAURINBURG",-79.4500,34.7500,64,"COOP"
"422057","DEER CREEK D",-111.5333,40.4000,1606,"COOP"
"KDFW","DALLAS/FT WO",-97.0219,32.8969,183,"ASOS"
"KTEW","MASON",-84.4233,42.5658,280,"ASOS"
"452157","DIABLO DAM",-121.1500,48.7167,272,"COOP"
"470273","ARBORETUM UN",-89.3992,43.0456,264,"COOP"
"09S06S","BEAVER HEAD",-109.2164,33.6914,2435,"SNOTEL"
"480484","BAGGS",-107.6500,41.0333,1902,"COOP"
"310724","BENT CREEK",-82.5950,35.5053,643,"COOP"
"444128","HOT SPRINGS",-79.8317,37.9969,682,"COOP"
"032930","GRAVETTE",-94.4500,36.4333,384,"COOP"
"275868","NEWPORT",-72.1833,43.3833,241,"COOP"
"477142","RICE RESRVR",-89.7300,45.5300,445,"COOP"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS"
"325730","MC HENRY 3 W",-98.6422,47.5808,474,"COOP"
"391972","COTTONWOOD 2",-101.8667,43.9667,736,"COOP"
"145744","NEWTON 2 SW",-97.3833,38.0333,441,"COOP"
"204078","IONIA 2 SSW",-85.0778,42.9531,245,"COOP"
"335356","MINERAL RIDG",-80.7833,41.1500,271,"COOP"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"249175","WYOLA 1 SW",-107.4061,45.1217,1137,"COOP"
"461588","CHARLES TOWN",-77.8344,39.2981,158,"COOP"
"314456","JACKSON",-77.4242,36.3961,30,"COOP"
"KEST","ESTHERVILLE",-94.7472,43.4011,401,"ASOS"
"202015","DEARBORN",-83.2333,42.3167,184,"COOP"
"KSFM","SANFORD MUNI",-70.7200,43.4000,74,"ASOS"
"473453","HARTFORD 2 W",-88.4172,43.3319,299,"COOP"
"237514","SALISBURY",-92.8097,39.4244,223,"COOP"
"331541","CHIPPEWA LAK",-81.9361,41.0517,360,"COOP"
"416892","PECOS",-103.5000,31.4167,796,"COOP"
"KTEB","TETERBORO AI",-74.0567,40.8589,2,"ASOS"
"047339","REDWOOD CITY",-122.2403,37.4744,9,"COOP"
"057515","SEDGWICK 5 S",-102.5169,40.8656,1216,"COOP"
"143867","HUMBOLDT",-95.4458,37.8119,287,"COOP"
"085612","MELBOURNE WS",-80.6500,28.1167,11,"COOP"
"202250","DOWAGIAC 1 W",-86.1333,41.9833,226,"COOP"
"353014","FORT CLATSOP",-123.8783,46.1358,13,"COOP"
"07F01S","BEAR TRAP ME",-107.0667,43.8833,2499,"SNOTEL"
"407459","PULASKI WATE",-87.0500,35.1833,193,"COOP"
"463215","FRANKLIN 2 N",-79.3167,38.6667,579,"COOP"
"120177","ANDERSON SEW",-85.7167,40.1000,258,"COOP"
"273626","GREENLAND",-70.8333,43.0167,26,"COOP"
"155694","MURRAY",-88.3000,36.6000,161,"COOP"
"235307","MARSHFIELD",-92.9097,37.3381,454,"COOP"
"KICT","WICHITA/CONT",-97.4294,37.6472,406,"ASOS"
"KANJ","SAULT STE MA",-84.3572,46.4794,210,"ASOS"
"KDTL","DETROIT LAKE",-95.8800,46.8300,426,"ASOS"
"466989","PICKENS 2 N",-80.1956,38.6786,878,"COOP"
"041497","CANYON DAM",-121.0886,40.1706,1390,"COOP"
"425733","MOAB",-109.5458,38.5739,1232,"COOP"
"028112","SOUTH PHOENI",-112.0667,33.3833,352,"COOP"
"237963","SPICKARD 7 W",-93.7194,40.2486,267,"COOP"
"300063","ALCOVE DAM",-73.9267,42.4697,185,"COOP"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP"
"KFQD","RUTHERFORDTO",-81.9350,35.4283,329,"ASOS"
