name,longitude,latitude,date
"Vanessa annabella (W.D.Field, 1971)",-103.518394,22.505261,2019-01-01
"Vanessa annabella (W.D.Field, 1971)",-120.652695,35.257713,2019-01-31
"Vanessa annabella (W.D.Field, 1971)",-117.07795,32.558403,2019-01-29
"Vanessa annabella (W.D.Field, 1971)",-111.657854,33.539075,2019-01-27
"Vanessa annabella (W.D.Field, 1971)",-117.088676,32.558174,2019-02-01
"Vanessa annabella (W.D.Field, 1971)",-116.235847,32.871875,2019-02-01
"Vanessa annabella (W.D.Field, 1971)",-116.83599,33.083492,2019-02-16
"Vanessa annabella (W.D.Field, 1971)",-118.313622,34.033025,2019-02-27
"Vanessa annabella (W.D.Field, 1971)",-122.49531,37.777677,2019-02-28
"Vanessa annabella (W.D.Field, 1971)",-100.72742,20.917741,2019-02-23
"Vanessa annabella (W.D.Field, 1971)",-118.40177,34.02005,2019-03-30
"Vanessa annabella (W.D.Field, 1971)",-122.293477,37.770838,2019-03-28
"Vanessa annabella (W.D.Field, 1971)",-112.748038,32.271245,2019-03-22
"Vanessa annabella (W.D.Field, 1971)",-117.938637,34.059844,2019-03-31
"Vanessa annabella (W.D.Field, 1971)",-121.740785,38.300535000000004,2019-03-26
"Vanessa annabella (W.D.Field, 1971)",-117.041344,32.325572,2019-03-16
"Vanessa annabella (W.D.Field, 1971)",-118.114134,34.053683,2019-03-03
"Vanessa annabella (W.D.Field, 1971)",-122.573567,38.023914,2019-03-30
"Vanessa annabella (W.D.Field, 1971)",-117.275974,33.003144,2019-03-28
"Vanessa annabella (W.D.Field, 1971)",-118.159919,34.033622,2019-03-27
"Vanessa annabella (W.D.Field, 1971)",-117.143478,34.058392,2019-03-15
"Vanessa annabella (W.D.Field, 1971)",-121.812478,37.190597,2019-03-14
"Vanessa annabella (W.D.Field, 1971)",-118.159721,34.033333,2019-03-27
"Vanessa annabella (W.D.Field, 1971)",-114.053006,35.189443,2019-03-24
"Vanessa annabella (W.D.Field, 1971)",-118.220145,33.978015,2019-03-19
"Vanessa annabella (W.D.Field, 1971)",-115.21917,36.303992,2019-03-22
"Vanessa annabella (W.D.Field, 1971)",-118.157439,34.035258,2019-03-27
"Vanessa annabella (W.D.Field, 1971)",-116.27203,33.706697,2019-03-16
"Vanessa annabella (W.D.Field, 1971)",-117.212005,33.101628,2019-03-27
"Vanessa annabella (W.D.Field, 1971)",-122.27974,37.768084,2019-03-23
"Vanessa annabella (W.D.Field, 1971)",-118.312652,33.717942,2019-03-15
"Vanessa annabella (W.D.Field, 1971)",-122.515403,38.018214,2019-03-24
"Vanessa annabella (W.D.Field, 1971)",-118.300187,34.117072,2019-03-19
"Vanessa annabella (W.D.Field, 1971)",-122.420472,37.733412,2019-03-17
"Vanessa annabella (W.D.Field, 1971)",-121.314913,38.601105,2019-03-23
"Vanessa annabella (W.D.Field, 1971)",-117.118141,33.141705,2019-03-18
"Vanessa annabella (W.D.Field, 1971)",-118.401612,34.01997,2019-03-30
"Vanessa annabella (W.D.Field, 1971)",-117.963928,34.74887,2019-03-26
"Vanessa annabella (W.D.Field, 1971)",-119.349838,34.400588,2019-03-24
"Vanessa annabella (W.D.Field, 1971)",-117.755166,33.836476,2019-03-30
"Vanessa annabella (W.D.Field, 1971)",-117.245728,32.744098,2019-03-17
"Vanessa annabella (W.D.Field, 1971)",-117.119449,33.139154,2019-03-17
"Vanessa annabella (W.D.Field, 1971)",-118.300423,34.104527,2019-03-08
"Vanessa annabella (W.D.Field, 1971)",-117.219261,32.773328,2019-03-07
"Vanessa annabella (W.D.Field, 1971)",-102.514461,22.748007,2019-03-18
"Vanessa annabella (W.D.Field, 1971)",-118.927313,34.44412,2019-03-19
"Vanessa annabella (W.D.Field, 1971)",-117.661679,33.467245,2019-03-15
"Vanessa annabella (W.D.Field, 1971)",-100.388148,20.522022,2019-03-24
"Vanessa annabella (W.D.Field, 1971)",-122.440545,37.768688,2019-03-23
"Vanessa annabella (W.D.Field, 1971)",-116.551356,35.914264,2019-03-12
"Vanessa annabella (W.D.Field, 1971)",-117.72004,33.928571,2019-03-07
"Vanessa annabella (W.D.Field, 1971)",-122.382295,37.719453,2019-03-30
"Vanessa annabella (W.D.Field, 1971)",-116.88485,32.91355,2019-03-24
"Vanessa annabella (W.D.Field, 1971)",-122.508114,37.753415,2019-04-10
"Vanessa annabella (W.D.Field, 1971)",-117.083528,32.621688,2019-04-19
"Vanessa annabella (W.D.Field, 1971)",-106.411527,31.920074,2019-04-14
"Vanessa annabella (W.D.Field, 1971)",-119.225891,34.28643,2019-04-11
"Vanessa annabella (W.D.Field, 1971)",-117.254634,32.718988,2019-04-25
"Vanessa annabella (W.D.Field, 1971)",-117.314812,34.18653,2019-04-04
"Vanessa annabella (W.D.Field, 1971)",-101.245932,19.65195,2019-04-11
"Vanessa annabella (W.D.Field, 1971)",-117.223228,32.773242,2019-04-15
"Vanessa annabella (W.D.Field, 1971)",-118.206827,34.128636,2019-04-17
"Vanessa annabella (W.D.Field, 1971)",-122.371003,38.043197,2019-04-24
"Vanessa annabella (W.D.Field, 1971)",-118.512562,34.054979,2019-04-11
"Vanessa annabella (W.D.Field, 1971)",-122.472228,37.783067,2019-04-22
"Vanessa annabella (W.D.Field, 1971)",-117.315648,34.187294,2019-04-22
"Vanessa annabella (W.D.Field, 1971)",-116.638475,31.73322,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-117.16922,34.084141,2019-04-01
"Vanessa annabella (W.D.Field, 1971)",-118.2799,33.7097,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-117.981186,33.818667,2019-04-05
"Vanessa annabella (W.D.Field, 1971)",-123.117611,44.073624,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-117.051444,32.801625,2019-04-13
"Vanessa annabella (W.D.Field, 1971)",-122.472305,37.784133,2019-04-24
"Vanessa annabella (W.D.Field, 1971)",-122.156355,37.481067,2019-04-24
"Vanessa annabella (W.D.Field, 1971)",-118.704788,34.151741,2019-04-07
"Vanessa annabella (W.D.Field, 1971)",-118.128394,34.091311,2019-04-02
"Vanessa annabella (W.D.Field, 1971)",-117.231909,32.788828,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-118.402565,33.995101,2019-04-02
"Vanessa annabella (W.D.Field, 1971)",-121.3407,38.654563,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-118.229333,34.1127,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-117.982709,33.819323,2019-04-05
"Vanessa annabella (W.D.Field, 1971)",-116.593137,31.841847,2019-04-27
"Vanessa annabella (W.D.Field, 1971)",-118.283293,33.71101,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-118.187449,34.135104,2019-04-27
"Vanessa annabella (W.D.Field, 1971)",-122.080417,37.372498,2019-04-09
"Vanessa annabella (W.D.Field, 1971)",-117.127844,32.559508,2019-04-01
"Vanessa annabella (W.D.Field, 1971)",-116.675621,31.872158,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-118.31385,34.033199,2019-04-02
"Vanessa annabella (W.D.Field, 1971)",-118.233953,34.175244,2019-04-14
"Vanessa annabella (W.D.Field, 1971)",-118.115603,34.145135,2019-04-10
"Vanessa annabella (W.D.Field, 1971)",-117.194897,34.023368,2019-04-17
"Vanessa annabella (W.D.Field, 1971)",-117.229159,32.749538,2019-04-27
"Vanessa annabella (W.D.Field, 1971)",-118.167294,34.140285,2019-04-05
"Vanessa annabella (W.D.Field, 1971)",-120.992898,36.371598,2019-04-07
"Vanessa annabella (W.D.Field, 1971)",-122.111161,37.807962,2019-04-27
"Vanessa annabella (W.D.Field, 1971)",-123.116683,44.073865,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-106.424309,23.187825,2019-04-27
"Vanessa annabella (W.D.Field, 1971)",-122.484564,37.696737,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-118.172775,35.050839,2019-04-21
"Vanessa annabella (W.D.Field, 1971)",-118.259369,34.117191,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-123.117611,44.073544,2019-04-28
"Vanessa annabella (W.D.Field, 1971)",-118.01327,34.100624,2019-04-13
"Vanessa annabella (W.D.Field, 1971)",-116.595795,31.798058,2019-04-01
"Vanessa annabella (W.D.Field, 1971)",-106.421932,31.926585,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-117.244785,32.868549,2019-04-17
"Vanessa annabella (W.D.Field, 1971)",-122.44265,37.45562,2019-04-22
"Vanessa annabella (W.D.Field, 1971)",-121.725647,38.570142,2019-04-26
"Vanessa annabella (W.D.Field, 1971)",-119.695572,34.42628,2019-04-14
"Vanessa annabella (W.D.Field, 1971)",-118.035142,33.976272,2019-04-13
"Vanessa annabella (W.D.Field, 1971)",-116.603717,31.850993,2019-04-25
"Vanessa annabella (W.D.Field, 1971)",-121.891644,36.605979,2019-04-24
"Vanessa annabella (W.D.Field, 1971)",-118.656695,34.4146,2019-04-12
"Vanessa annabella (W.D.Field, 1971)",-119.292725,34.28647,2019-04-14
"Vanessa annabella (W.D.Field, 1971)",-118.139442,34.187778,2019-04-12
"Vanessa annabella (W.D.Field, 1971)",-116.591705,31.826803,2019-04-19
