name,latitude,longitude,date
Vanessa atalanta,34.1964,-118.26186,2006-01-11
Vanessa atalanta,33.675686,-117.77721,2006-08-17
Vanessa atalanta,33.675686,-117.77721,2005-07-29
Vanessa atalanta,33.346542,-112.49554,2005-04-04
Vanessa atalanta,40.66309,-105.48213,2006-06-25
Vanessa atalanta,44.900898,-122.57626,2006-10-20
Vanessa atalanta,43.184193,-124.09256,2009-07-23
Vanessa atalanta,33.675686,-117.77721,2005-12-22
Vanessa atalanta,34.1964,-118.26186,2004-10-10
Vanessa atalanta,33.61147,-101.81995,2008-08-31
Vanessa atalanta,39.31058,-104.11773,2007-07-29
Vanessa atalanta,37.648136,-121.91329,2010-01-13
Vanessa atalanta,34.1964,-118.26186,2009-08-22
Vanessa atalanta,37.648136,-121.91329,2009-06-01
Vanessa atalanta,33.675686,-117.77721,2009-03-31
Vanessa atalanta,34.630043,-112.573746,2008-03-22
Vanessa atalanta,34.1964,-118.26186,2010-05-01
Vanessa atalanta,43.184193,-124.09256,2008-10-07
Vanessa atalanta,33.675686,-117.77721,2010-04-08
Vanessa atalanta,34.1964,-118.26186,2008-05-08
Vanessa atalanta,47.051437,-122.15323,2009-09-21
Vanessa atalanta,37.648136,-121.91329,2009-07-03
Vanessa atalanta,43.184193,-124.09256,2009-08-16
Vanessa atalanta,43.286045,-123.153694,2008-08-06
Vanessa atalanta,36.610703,-121.0853,2010-05-03
Vanessa atalanta,41.59292,-120.71837,2011-07-30
Vanessa atalanta,34.1964,-118.26186,2011-07-26
Vanessa atalanta,34.630043,-112.573746,2008-03-24
Vanessa atalanta,41.037045,-112.202126,2010-10-21
Vanessa atalanta,41.59292,-120.71837,2011-08-01
Vanessa atalanta,34.85722,-116.1812,2008-11-18
Vanessa atalanta,32.45786,-104.30647,2010-10-16
Vanessa atalanta,37.220776,-121.69062,2010-06-23
Vanessa atalanta,38.679607,-121.90243,2012-04-16
Vanessa atalanta,38.450012,-121.34044,2012-02-25
Vanessa atalanta,48.054913,-121.76641,2012-10-03
Vanessa atalanta,47.051437,-122.15323,2011-08-11
Vanessa atalanta,40.72109,-120.62993,NA
Vanessa atalanta,39.43239,-123.44288,2012-05-18
Vanessa atalanta,35.34663,-118.72951,2012-08-08
Vanessa atalanta,35.51373,-105.96644,2012-07-21
Vanessa atalanta,48.314697,-114.05432,2013-09-01
Vanessa atalanta,40.66788,-111.92424,2012-11-04
Vanessa atalanta,37.338024,-108.59579,2015-03-29
Vanessa atalanta,45.591198,-118.73388,2012-10-21
Vanessa atalanta,44.061474,-116.39878,2014-10-03
Vanessa atalanta,45.24814,-123.31612,2015-02-13
Vanessa atalanta,44.00235,-102.8238,2015-05-26
Vanessa atalanta,41.85159,-103.705864,2014-04-24
Vanessa atalanta,31.766403,-106.241394,2015-10-31
Vanessa atalanta,42.41178,-122.6758,2015-03-29
Vanessa atalanta,45.54769,-122.417175,2014-06-22
Vanessa atalanta,47.493553,-121.832375,2016-05-13
Vanessa atalanta,40.72109,-120.62993,2015-05-29
Vanessa atalanta,31.766403,-106.241394,2015-07-31
Vanessa atalanta,44.00235,-102.8238,2014-10-06
Vanessa atalanta,42.711216,-103.13487,2015-10-10
Vanessa atalanta,41.47602,-113.052925,2016-06-16
Vanessa atalanta,37.727238,-123.03223,2016-07-22
Vanessa atalanta,48.49329,-121.81577,2016-06-14
Vanessa atalanta,33.675686,-117.77721,2015-11-03
Vanessa atalanta,35.385227,-120.44754,2015-03-19
Vanessa atalanta,34.091908,-100.27644,2016-03-20
Vanessa atalanta,46.45656,-120.74014,2016-06-19
Vanessa atalanta,44.00235,-102.8238,2014-11-04
Vanessa atalanta,31.525734,-110.84523,2017-01-11
Vanessa atalanta,32.12824,-111.78302,2015-11-22
Vanessa atalanta,42.711216,-103.13487,2015-07-05
Vanessa atalanta,47.493553,-121.832375,2016-07-16
Vanessa atalanta,44.061474,-116.39878,2016-11-10
Vanessa atalanta,42.711216,-103.13487,2016-06-01
Vanessa atalanta,44.900898,-122.57626,2017-09-07
Vanessa atalanta,47.493553,-121.832375,2017-06-29
Vanessa atalanta,37.620944,-121.199814,2018-05-02
Vanessa atalanta,37.71462,-122.42813,2018-05-02
Vanessa atalanta,34.128033,-118.212263,2018-05-05
Vanessa atalanta,34.391828,-119.298042,2018-05-03
Vanessa atalanta,37.454015,-122.38856,2018-05-07
Vanessa atalanta,38.375325,-122.806935,2018-05-06
Vanessa atalanta,33.58542,-101.881509,2018-05-08
Vanessa atalanta,25.616531,-101.086668,2010-07-22
Vanessa atalanta,33.725121,-118.293724,2018-05-09
Vanessa atalanta,37.840691,-122.27389,2018-05-12
Vanessa atalanta,42.42837,-124.404565,2018-05-12
Vanessa atalanta,35.17012,-106.418937,2013-04-13
Vanessa atalanta,37.811184,-122.297226,2018-05-11
Vanessa atalanta,37.808655,-122.302345,2018-05-14
Vanessa atalanta,37.771555,-122.427138,2018-05-15
Vanessa atalanta,47.81227,-122.346428,2018-05-14
Vanessa atalanta,36.504039,-121.156053,2018-04-25
Vanessa atalanta,50.803067,-100.002372,2018-05-19
Vanessa atalanta,25.404181,-100.997045,2010-04-06
Vanessa atalanta,30.483923,-103.455535,2018-05-19
Vanessa atalanta,33.993152,-118.269073,2018-05-19
Vanessa atalanta,40.116139,-105.297281,2018-05-23
Vanessa atalanta,48.272723,-122.329101,2018-05-23
Vanessa atalanta,36.983171,-122.05984,2017-06-28
Vanessa atalanta,32.554215,-117.086341,2018-05-25
Vanessa atalanta,44.744658,-123.139917,2018-05-18
Vanessa atalanta,33.993213,-118.268845,2018-05-26
Vanessa atalanta,40.014245,-105.322371,2018-05-26
Vanessa atalanta,39.96281,-104.859998,2018-05-26
Vanessa atalanta,37.679528,-122.407281,2018-05-27
Vanessa atalanta,40.455516,-109.528748,1982-08-01
Vanessa atalanta,40.6962,-111.744556,1978-09-10
Vanessa atalanta,40.675315,-111.773198,1995-07-08
Vanessa atalanta,28.306285,-111.31284,1983-04-03
Vanessa atalanta,32.554164,-117.08574,2015-10-25
Vanessa atalanta,37.607162,-104.853727,2015-10-04
Vanessa atalanta,49.217729,-123.1762,2015-05-02
Vanessa atalanta,35.321747,-120.841998,2015-10-31
Vanessa atalanta,37.493878,-122.368212,2015-11-01
Vanessa atalanta,34.040713,-118.246769,2015-10-26
Vanessa atalanta,37.805378,-122.475053,2015-11-02
Vanessa atalanta,37.848122,-122.197652,2015-11-03
Vanessa atalanta,37.766286,-122.44189,2015-11-07
Vanessa atalanta,37.493577,-122.453058,2015-11-07
Vanessa atalanta,37.47284,-122.443786,2015-11-07
Vanessa atalanta,36.952583,-122.057014,2015-11-11
Vanessa atalanta,37.939281,-121.295056,2015-11-12
Vanessa atalanta,37.802183,-122.43598,2015-10-20
Vanessa atalanta,37.76598,-122.46647,2015-07-11
Vanessa atalanta,34.017532,-118.287781,2015-07-10
Vanessa atalanta,37.579882,-106.649075,2015-07-10
Vanessa atalanta,37.765312,-122.438585,2015-07-14
Vanessa atalanta,38.052755,-122.760415,2015-07-15
Vanessa atalanta,38.06831,-122.806443,2015-07-15
Vanessa atalanta,36.038108,-111.827187,2015-07-16
Vanessa atalanta,37.192673,-122.261268,2015-07-16
Vanessa atalanta,34.159206,-118.119003,1897-01-01
Vanessa atalanta,31.466363,-100.460505,2018-11-14
Vanessa atalanta,26.537756,-100.533722,2018-11-15
Vanessa atalanta,38.017298,-119.170863,2015-04-12
Vanessa atalanta,33.353071,-117.040328,2016-03-25
Vanessa atalanta,30.597692,-103.913437,2018-11-19
Vanessa atalanta,32.273341,-111.146936,2018-11-19
Vanessa atalanta,49.342061,-119.587652,2006-08-09
Vanessa atalanta,31.589518,-100.581593,2018-11-20
Vanessa atalanta,31.443231,-100.408087,2018-11-20
Vanessa atalanta,34.132055,-118.424484,2017-04-14
Vanessa atalanta,37.71978,-122.45751,2017-05-15
Vanessa atalanta,38.301111,-120.276111,1994-06-05
Vanessa atalanta,34.171111,-118.021944,1989-06-14
Vanessa atalanta,38.5,-120.25,1989-06-18
Vanessa atalanta,38.5,-120.25,1989-06-22
Vanessa atalanta,23.38639,-104.24639,1984-08-18
Vanessa atalanta,33.480263,-101.780482,2017-11-23
Vanessa atalanta,37.842187,-122.272478,2017-11-27
Vanessa atalanta,51.402435,-116.249771,2016-06-27
Vanessa atalanta,35.139513,-120.640443,2017-12-01
Vanessa atalanta,37.796495,-122.473188,2017-12-05
Vanessa atalanta,27.888093,-101.189012,2017-10-20
Vanessa atalanta,37.823096,-122.171583,2017-12-07
Vanessa atalanta,39.138432,-120.221994,2010-07-06
Vanessa atalanta,32.395024,-111.134841,2017-10-23
